taxid,desc,superkingdom,phylum,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301878,CD-SRS301868,CD-SRS301869,CD-SRS301876,CD-SRS301867,CD-SRS301879,CD-SRS301870,CD-SRS301874,CD-SRS301872,CD-SRS301875,CD-SRS301865,CD-SRS301866,CD-SRS301877,CD-SRS301871,CD-SRS301873,UC-SRS071978,UC-SRS071981,UC-SRS071988,UC-SRS071982,UC-SRS071970,UC-SRS071964,HE-SRS013215,HE-SRS012902,HE-SRS011452,HE-SRS013158,HE-SRS022713,HE-SRS016018,HE-SRS011405,HE-SRS017433,HE-SRS011061,HE-SRS017103,HE-SRS011529,HE-SRS011239,HE-SRS011084,HE-SRS011271,HE-SRS016095,HE-SRS013687,HE-SRS016335,HE-SRS020869,HE-SRS018427,HE-SRS015578,HE-SRS011586,HE-SRS015663,HE-SRS020328,HE-SRS014235,HE-SRS012273,HE-SRS011134,HE-SRS018656,HE-SRS015065,HE-SRS011302,HE-SRS014979,HE-SRS014923,HE-SRS015217,HE-SRS016495,HE-SRS013951,max
1239,Firmicutes,Bacteria,Firmicutes,0.513577,0.691587,0.747455,0.745551,0.454823,0.419042,0.622588,0.307959,0.362085,0.408045,0.58624,0.636631,0.667836,0.694698,0.736324,0.766984,0.78267,0.785773,0.847267,0.884079,0.923902,0.98043,0.013736,0.026268,0.171421,0.294321,0.308917,0.541856,0.017918,0.029791,0.04689,0.051532,0.058212,0.062832,0.069006,0.082248,0.088875,0.110453,0.126134,0.146398,0.175713,0.191892,0.213307,0.223157,0.249408,0.286756,0.292767,0.317741,0.320114,0.352312,0.358039,0.389523,0.397526,0.433014,0.48692,0.502596,0.614796,0.627835,0.688704,0.731255,0.732294,0.759822,0.98043
976,Bacteroidetes,Bacteria,Bacteroidetes,0.050462,0.035255,0.063104,0.046371,0.061466,0.368478,0.075461,0.007971,0.002365,0.000856,0.016147,0.004203,0.02315,0.00146,0.14978,0.00072,0.002884,0.012518,0.032056,0.002921,0.007486,0.001239,0.131838,0.210312,0.726138,0.323786,0.58404,0.082199,0.966975,0.952599,0.946143,0.934735,0.899077,0.889595,0.921834,0.903437,0.873807,0.811864,0.855132,0.81761,0.761706,0.786856,0.71332,0.728344,0.675068,0.664974,0.696105,0.647784,0.645586,0.616981,0.55858,0.580988,0.557373,0.515005,0.468511,0.455623,0.346553,0.253885,0.273668,0.159873,0.226306,0.203449,0.966975
1224,Proteobacteria,Bacteria,Proteobacteria,0.129208,0.125176,0.11152,0.078556,0.032986,0.046611,0.179229,0.000933,0.001766,0.004051,0.001598,0.002335,0.004925,0.001647,0.02883,0.004261,0.014597,0.014082,0.012757,0.001333,0.063965,0.003258,0.853856,0.761046,0.098301,0.37549,0.10287,0.263207,0.014328,0.015878,0.004582,0.011753,0.002534,0.037433,0.00573,0.005633,0.029268,0.034072,0.007484,0.012087,0.051184,0.014308,0.059091,0.006524,0.050085,0.01221,0.006114,0.02793,0.011121,0.008492,0.011127,0.008103,0.019136,0.017435,0.006555,0.03576,0.010866,0.012902,0.00751,0.008829,0.010323,0.011055,0.853856
201174,Actinobacteria,Bacteria,Actinobacteria,0.029158,0.134261,0.046525,0.046986,0.330316,0.03586,0.040938,0.682051,0.633078,0.586505,0.393538,0.355444,0.296599,0.299646,0.063752,0.227068,0.198341,0.157166,0.094784,0.108156,0.00374,0.014254,0.000272,0.001719,0.000583,0.00179,0.001219,0.105463,0.00048,0.001249,0.001555,0.001164,0.000659,0.001522,0.000668,0.001925,0.002756,0.028535,0.002372,0.004148,0.004692,0.002009,0.002628,0.007278,0.004117,0.016854,0.002719,0.004648,0.00243,0.003895,0.016773,0.007245,0.00766,0.003554,0.021309,0.002945,0.006177,0.015924,0.009605,0.007396,0.019876,0.010044,0.682051
28890,Euryarchaeota,Archaea,Euryarchaeota,0.198777,0.004061,0.004185,0.041947,0.032318,0.082011,0.036015,0.000028,0.000043,0.000041,0.000018,0.000034,0.000089,0.000133,0.000072,0.000075,0.000097,0.000077,0.000054,0.000107,0.000053,0.000034,0.000002,0.000016,0.000182,0.000108,0.000139,0.00028,0.000011,0.000029,0.00006,0.000031,0.000041,0.000089,0.000104,0.000041,0.000283,0.000109,0.000799,0.000808,0.000263,0.00025,0.000381,0.000349,0.00093,0.001845,0.000146,0.000122,0.000896,0.000399,0.000482,0.005745,0.000745,0.004486,0.00038,0.000181,0.001979,0.011065,0.013419,0.000555,0.000978,0.00114,0.198777
74201,Verrucomicrobia,Bacteria,Verrucomicrobia,0.00724,0.00426,0.021241,0.03117,0.069792,0.022655,0.038232,0.000008,0.000005,0.000005,0.000004,0.000005,0.000005,0.000007,0.000021,0.000024,0.000004,0.000019,0.000013,0.000005,0,0.000001,0.000037,0.000025,0.000013,0.000003,0.000004,0.000203,0.000093,0.000002,0.000115,0.000034,0.038668,0.007369,0.001301,0.000038,0.00119,0.013767,0.000061,0.006006,0.001909,0.000209,0.002161,0.021603,0.004323,0.009402,0.000033,0.000012,0.006845,0.011758,0.044919,0.000601,0.0007,0.007132,0.008351,0.000375,0.002951,0.059304,0.000265,0.08456,0.000071,0.000299,0.08456
32066,Fusobacteria,Bacteria,Fusobacteria,0.066637,0.00057,0.000567,0.001903,0.000451,0.018726,0.000686,0.000187,0.000161,0.000111,0.001864,0.000294,0.000617,0.000713,0.020636,0.000179,0.00048,0.029622,0.012654,0.000598,0.000326,0.000215,0.000032,0.000046,0.002127,0.001696,0.00122,0.001131,0.000089,0.000123,0.000078,0.000123,0.000293,0.000185,0.000234,0.006118,0.000684,0.000205,0.000898,0.002148,0.000859,0.000978,0.001042,0.001004,0.003848,0.001256,0.000264,0.000524,0.002269,0.001385,0.002044,0.001805,0.005253,0.003828,0.000984,0.000593,0.003928,0.003091,0.001771,0.001812,0.002299,0.003982,0.066637
544448,Tenericutes,Bacteria,Tenericutes,0.0009,0.000258,0.000242,0.000864,0.000409,0.000725,0.000295,0.000114,0.000025,0.000025,0.00007,0.000158,0.000623,0.000669,0.00005,0.000028,0.0001,0.000067,0.000027,0.00046,0.00007,0.000059,0.000015,0.000015,0.00022,0.000176,0.000366,0.000805,0.000008,0.000034,0.00003,0.000125,0.000129,0.000081,0.000259,0.000074,0.000607,0.000107,0.001537,0.006607,0.001279,0.001449,0.000437,0.002572,0.00455,0.002285,0.000117,0.000204,0.006783,0.001157,0.00319,0.001445,0.00517,0.00893,0.003067,0.000223,0.005251,0.00826,0.000541,0.000796,0.000885,0.004015,0.00893
508458,Synergistetes,Bacteria,Synergistetes,0.001545,0.001057,0.001633,0.002335,0.006959,0.002093,0.001835,0.000046,0.00003,0.000033,0.000035,0.000035,0.000027,0.00004,0.000115,0.000097,0.000047,0.000116,0.000074,0.000037,0.00002,0.000024,0,0.000006,0.000046,0.000028,0.000045,0.00001,0.000008,0.00003,0.000068,0.000032,0.000041,0.000184,0.000112,0.000043,0.000288,0.000145,0.000196,0.000275,0.000337,0.000142,0.000387,0.000259,0.000595,0.000788,0.000325,0.000091,0.000281,0.000308,0.000633,0.000725,0.000439,0.00044,0.00067,0.000178,0.000633,0.000727,0.000594,0.000299,0.000422,0.000509,0.006959
-1,,none,none,0.000521,0.000259,0.000247,0.0008,0.00442,0.000481,0.00125,0.000405,0.000064,0.000042,0.000241,0.000521,0.002231,0.000217,0.000032,0.000133,0.000216,0.00013,0.000022,0.00166,0.000075,0.000123,0.000023,0.000062,0.000061,0.000906,0.000166,0.000243,0.000005,0.000038,0.000111,0.00002,0.00003,0.000034,0.000073,0.000035,0.000073,0.000022,0.002345,0.000739,0.000104,0.000127,0.00298,0.005049,0.000547,0.000194,0.000295,0.000084,0.000335,0.000848,0.000395,0.000663,0.000423,0.000458,0.000686,0.000099,0.000549,0.000509,0.000192,0.000242,0.000313,0.000539,0.005049
4890,Ascomycota,Eukaryota,Ascomycota,0.000097,0.000099,0.000048,0.000338,0.000032,0.000093,0.000052,0.000091,0.000094,0.000029,0.000029,0.000037,0.003111,0.00012,0.000008,0.000006,0.000016,0.000007,0.000011,0.000207,0.000015,0.000159,0.000103,0.000046,0.00025,0.001105,0.000333,0.000853,0,0.000002,0.000046,0.000002,0.000001,0.000007,0.000013,0.000002,0.000011,0.000003,0.001069,0.000021,0.000043,0.00007,0.000371,0.00023,0.000661,0.000009,0.000017,0.000172,0.000258,0.000204,0.000037,0.000076,0.000098,0.000073,0.00016,0.00006,0.000124,0.000532,0.000198,0.000084,0.000174,0.000284,0.003111
203691,Spirochaetes,Bacteria,Spirochaetes,0.000677,0.00135,0.001412,0.001339,0.002216,0.001355,0.001313,0.000106,0.000135,0.000105,0.000135,0.000162,0.000215,0.000271,0.000153,0.000192,0.000279,0.000181,0.000116,0.000254,0.000207,0.00011,0.000029,0.000043,0.000293,0.000228,0.000296,0.00101,0.000041,0.000125,0.000124,0.000135,0.000138,0.000291,0.000305,0.00019,0.000775,0.00032,0.000575,0.00108,0.000735,0.000674,0.001246,0.000848,0.002021,0.001327,0.000473,0.000329,0.001259,0.000868,0.001548,0.00125,0.001942,0.001788,0.000894,0.000586,0.002429,0.002752,0.001699,0.002127,0.00279,0.001742,0.00279
1117,Cyanobacteria,Bacteria,Cyanobacteria,0.000195,0.000297,0.000305,0.000298,0.000677,0.000317,0.000327,0.000029,0.000033,0.000042,0.000021,0.000033,0.000063,0.000104,0.00005,0.000052,0.000036,0.000055,0.000038,0.000041,0.000017,0.000019,0.000005,0.000013,0.00008,0.000089,0.00008,0.001097,0.000011,0.000023,0.000029,0.000071,0.000036,0.000067,0.000049,0.00006,0.000231,0.000067,0.000155,0.000398,0.00021,0.000195,0.000381,0.000224,0.000775,0.000348,0.000113,0.000065,0.000368,0.000214,0.000378,0.000255,0.000645,0.000536,0.000302,0.000163,0.000594,0.000568,0.000334,0.000258,0.000269,0.000625,0.001097
1297,Deinococcus-Thermus,Bacteria,Deinococcus-Thermus,0.000141,0.000359,0.000306,0.000211,0.000983,0.000354,0.000453,0.00001,0.000022,0.000015,0.000007,0.000008,0.000013,0.00002,0.000054,0.000062,0.000007,0.000045,0.000036,0.000005,0.000001,0.000003,0,0.000001,0.000004,0.000004,0.000007,0.000006,0.000002,0.000002,0.000022,0.000007,0.000011,0.000052,0.000016,0.000014,0.000126,0.000047,0.000039,0.000092,0.000064,0.000031,0.000117,0.000074,0.000225,0.000213,0.000046,0.000014,0.000046,0.00007,0.000169,0.000091,0.00008,0.000136,0.000139,0.000036,0.000122,0.000255,0.000151,0.000088,0.000045,0.000115,0.000983
6040,Porifera,Eukaryota,Porifera,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000053,0,0,0.000034,0.000071,0.000184,0,0,0.000007,0,0,0.000009,0,0.000023,0,0.000893,0,0,0,0,0,0,0,0,0.000893
200918,Thermotogae,Bacteria,Thermotogae,0.000149,0.0001,0.000123,0.000266,0.000104,0.00014,0.0001,0.000018,0.000025,0.000026,0.000021,0.000032,0.000049,0.000061,0.000011,0.000012,0.000041,0.000016,0.000008,0.000046,0.000049,0.000013,0.000007,0.000003,0.0001,0.000111,0.000079,0.000216,0.000004,0.000005,0.000019,0.00001,0.000011,0.000035,0.000047,0.000015,0.000166,0.000047,0.000115,0.000443,0.000155,0.000138,0.000132,0.000249,0.000436,0.000276,0.000064,0.000061,0.000321,0.000217,0.000295,0.000373,0.000872,0.000534,0.00013,0.00008,0.000709,0.000497,0.00023,0.000258,0.000674,0.000639,0.000872
2870,Phaeophyceae,Eukaryota,Phaeophyceae,0.000009,0.000001,0.000055,0.000012,0.000012,0.000001,0.000105,0,0,0,0,0.000002,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285,0,0,0,0.000429,0.000789,0.000007,0,0.000026,0,0,0.000133,0.000013,0.000036,0,0,0,0,0,0,0,0,0,0,0.000789
200783,Aquificae,Bacteria,Aquificae,0.0001,0.000077,0.000078,0.000163,0.000106,0.000118,0.000077,0.000005,0.000008,0.000008,0.000002,0.00001,0.000031,0.000036,0.000003,0.000004,0.000014,0.000005,0.000002,0.000017,0.00001,0.000007,0.000005,0.000008,0.000035,0.000027,0.000051,0.000061,0.000003,0.000016,0.000012,0.000011,0.000007,0.000031,0.000023,0.000011,0.000109,0.000032,0.000072,0.000197,0.000191,0.000127,0.000094,0.000093,0.000333,0.000174,0.000047,0.000036,0.000273,0.000133,0.000334,0.000241,0.000577,0.000353,0.000096,0.000071,0.000632,0.000346,0.000188,0.000277,0.000734,0.000435,0.000734
200795,Chloroflexi,Bacteria,Chloroflexi,0.000153,0.000319,0.0003,0.000224,0.000648,0.00026,0.000354,0.000008,0.000011,0.000013,0.000007,0.000008,0.000009,0.000017,0.000031,0.000025,0.000008,0.000037,0.000022,0.000011,0.000009,0.000007,0,0.000001,0.000011,0.000006,0.00001,0.000038,0.000003,0.000019,0.000036,0.000031,0.000044,0.000032,0.00003,0.000025,0.00011,0.000037,0.00004,0.000087,0.000074,0.000077,0.000157,0.00011,0.0002,0.000252,0.000058,0.000043,0.000108,0.000095,0.000181,0.000125,0.000116,0.000175,0.00012,0.00011,0.000233,0.000243,0.000256,0.000225,0.000291,0.000202,0.000648
5204,Basidiomycota,Eukaryota,Basidiomycota,0.000003,0.000001,0,0.000001,0.000001,0.000001,0.000001,0,0.000001,0,0,0,0.000004,0.000001,0,0,0.000001,0,0,0,0,0,0.000023,0.000318,0,0,0.000048,0.000513,0,0,0,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0.00001,0.000004,0.000003,0,0,0,0,0,0.000001,0.000004,0,0,0.000002,0,0.000007,0.000001,0,0,0.000001,0,0.000513
